Title,Company,Content,Link,Location,label
"빅데이터 분석, AI (머신러닝,딥러닝)",연합시스템,"포지션 상세
당사는 현재 100대 이상의 기계에 바로팩토리 SaaS 서비스를 제공하고 있으며, 앞으로 서비스를 받는 업체를 급속도로 증가 시키려고 합니다.
급속한 서비스 업체 확대에 맞춰 원활한 바로팩토리 서비스를 제공하고 성장을 같이 체험할 도전적이고 긍정적 마인드를 소유하신 데이터 분석가 분들의 많은 지원 부탁드립니다.
주요업무
데이터 분석가
- 공작기계에서 생성되는 시계열 데이터 전처리/가공/분석/해석 및 인사이트 도출
자격요건
경력 : 1년이상     
학력 : 무관     
성별·나이 : 무관     
- 데이터 분석 경력 1년 이상
- 데이터 추출 및 분석을 위한 언어(SQL, Python)를 능숙하게 다루는 분
- 데이터 시각화 툴(Tableau, BI, 엑셀, matplotlib 등)을 능숙하게 다루는 분
- 포트폴리오 제출 필수
상세 정보 더 보기",https://www.wanted.co.kr/wd/202936,경기 · 한국,데이터 분석가
Data Analyst,에어프레미아랩스,"포지션 상세
# 에어프레미아는 어떤 항공사인가요?

에어프레미아는 벤처캐피탈, 사모펀드, 기관투자자 등으로부터 누적 2700억 원의 투자를 유치한 국내 유일의 중장거리 전문 스타트업 항공사입니다. 대기업 계열의 항공사들만 존재하던 미주, 유럽 등 5시간 이상의 중장거리 노선을 중심으로 취항하며 시장에 변혁을 만들어 나가고 있습니다.

에어프레미아는 최신 기술을 적극적으로 활용하고 불필요한 서비스를 제거하여, 기존 FSC(Full Service Carrier) 대비 더 넓은 좌석을 제공하는 등 합리적인 가격으로 양질의 서비스를 제공하며 경쟁력을 키워 나가고 있습니다.

2022년 본격적으로 운항을 시작하여 LA, 뉴욕, 프랑크푸르트, 도쿄, 방콕 등에 취항하고 있습니다. 최신 항공기종을 도입함으로써 H/W 면에서 높은 만족도를 얻으며 첫 날개를 폈지만, 우리는 여기서 만족하지 않고 소비자와 보다 넓은 접점을 공유하는 IT 서비스(웹, 모바일, in-flight entertainment 등) 면에서 더 많은 기회를 포착하고 있습니다. 이를 위해 엑싯 경험을 가진 IT 스타트업 창업자, 경쟁력 있는 다양한 스타트업 및 IT 기업 출신의 팀원들이 모여 Neo Airline을 만들어 가고자 합니다.

# LABs는 Aviation Technology Innovation을 담당하는 에어프레미아의 핵심 계열사입니다

에어프레미아 랩스가 관심을 가지고 있는 항공 산업의 흐름은 '서비스의 평준화'입니다. ULCC(Ultra Low Cost Carrier)와 Meta(스카이스캐너와 같은 가격 비교 서비스)로 대변되는 가격 중심의 서비스들이 성장하며 최근 항공사들은 항공 서비스의 차별화보다는 단순히 가격으로 경쟁해 오고 있습니다. 이는 제품의 수명주기 이론상 시장 성숙도가 높아지고 공급자들의 수준이 평준화되며 나타나는 당연한 현상이라고 볼 수도 있습니다.

하지만 이렇게 성숙한 시장에서도, 새로운 경쟁 요소를 던지고 시장의 성숙도를 마치 초기와 같이 돌려 놓는 스타트업들을 우리는 보아 왔습니다. 모두가 이미 성숙한 시장이라고 생각하고 가격과 마케팅 경쟁만 이루어지던 금융업(Toss, 카카오뱅크)에서도, 이커머스(쿠팡)에서도 변화는 발생했고 항공업에도 이러한 기회가 다가오고 있다고 믿습니다.
주요업무
- 데이터에 기반한 비즈니스 인사이트 및 전략적 방향성을 제안합니다
- 다양한 유관 부서와 소통하며 데이터 활용 니즈를 발굴하고 능동적으로 업무를 추진합니다
- 자체 웹/모바일 서비스 뿐 아니라 third-party 소프트웨어를 포함한 다양한 소스로부터 수집되는 데이터를 이해하고, 쉽게 활용할 수 있도록 데이터 마트를 설계하고 직접 구축합니다
- 기본적인 웹 서비스 데이터 분석과 A/B 테스트 진행부터 웹 서비스보다 넓은 범위의 데이터를 활용한 고도화된 비즈니스 데이터 분석까지 다양하게 문제를 정의하고 data- driven 의사결정을 돕습니다
자격요건
- 5년 이상의 데이터 분석 업무 경험 혹은 그에 준하는 역량이 있으신 분
- 데이터 기반으로 서비스의 품질 및 성과 향상에 기여한 경험이 있으신 분
- 다양한 직군의 실무자 및 경영진에 맞게 데이터에 기반한 커뮤니케이션이 가능하신 분
- 논리적 사고를 바탕으로 호기심을 질문으로 바꾸고 유의미한 답을 찾아 전달할 수 있는 분
- SQL과 Python을 활용한 데이터 추출/가공/분석이 능숙하신 분
상세 정보 더 보기",https://www.wanted.co.kr/wd/202242,서울 · 한국,데이터 분석가
데이터 분석가 (2년 이상),버즈빌(buzzvil),"포지션 상세
""리워드 기반의 애드테크 No.1 기업, 버즈빌""

마케팅부터 수익화까지, 브랜드의 성장 단계별 필수 솔루션을 SaaS 형태로 제공하고 있습니다. 버즈빌은 일반 배너 광고에 비해 4배 이상의 전환율을 자랑하는 퍼포먼스 광고로 고객을 유치하고, 수익화 제품을 통해 앱의 고속 성장을 위한 재원 마련에 기여합니다. 또한, 이렇게 마련된 재원은 다양한 마케팅 이벤트 기획 및 운영에 활용되어 앱 활성화에 기여합니다.

광고가 사용자에게 진짜 혜택을 제공해야한다는 믿음으로 시작된 버즈빌의 리워드 광고는 고객사의 목소리를 바탕으로 수익화와 마케팅으로까지 그 범위를 확장해왔습니다. 이동통신 3사, SK, CJ, 카카오뱅크와 카카오페이 등 전세계 150개 이상의 프리미엄 제휴사 확보 및 꾸준한 매출 성장세를 통해 그 저력을 인정받았습니다.

2024년, 버즈빌은 IPO라는 과제에 앞서 AI 기술 투자를 통한 광고 효율 개선, 범용 포인트 제휴를 통한 성장, SaaS 솔루션 통합 등 다수의 신규 프로젝트를 진행 중에 있습니다. 자율적인 조직 문화(잡플래닛 평점 4.0점) 속에서 몰입의 즐거움을 함께 느끼실 분, 뛰어난 동료와 함께 성장하실 분, 무엇보다 고객 중심적 사고를 바탕으로 광고/마케팅의 혁신을 함께 만들어갈 미래의 버즈빌리언을 찾습니다.
주요업무
[Who we are]

버즈빌 Data Analyst들은 비즈니스와 제품의 성공을 가속화하기 위해 일합니다. 이를 위해 데이터 분석가들은 중요한 의사 결정들에 키 인사이트를 제공하여 목표 달성 확률을 높이며, 더 큰 임팩트의 목표 달성을 위하여 병목 문제를 사전 탐지하여 액션 조직의 방향성을 제시하기도 합니다. Data Analyst들의 꾸준한 기여와 지속적 역량 향상을 통해 버즈빌의 성공 속도를 수 배 이상 가속화해 왔습니다.

버즈빌의 데이터 분석팀은 개개인의 전문성을 키워나가는 기능 조직입니다. 소수의 데이터 분석가가 다수의 액션 조직을 지원하는 구조로 일하고 있습니다. 모든 일을 다 할 수 없다는 점을 인정하고 지금 시점에서 가장 중요한 일을 선택하여 이를 가장 잘 해낼 수 있는 역량을 요구 받습니다. 

기술적으로는 월간 1500만명 이상의 활동 유저가 만들어내는 수백억 건의 로그 데이터를 직접 다루고 있습니다. 현재 공용 기술스택은 aws s3, athena 및 python notebook 환경입니다. 분석 BI Tool은 tableau, redash를 운용하고 있습니다. Analytics engineer와 data platform 팀이 전문조직으로 존재하고 있어서, 분석가는 분석에 집중할 수 있는 환경을 만들어 나가고 있습니다. 유관 부서들과 주기적인 미팅을 통해 DW/DM 운영 & data Governance 정책 수립 및 데이터 리터러시 향상 문화 등도 개선해나가고 있습니다.


[What you’ll do]

버즈빌은 리워드 광고를 한 곳에 모은 혜택존(a.k.a. '베네핏허브') 제품을 개발합니다. 이를 파트너사에게 커스터마이제이션 가능한 형태로 제공하여 혜택존에서 발생한 수익을 배분하는 B2B2C 비즈니스를 운영합니다. 

혜택존에 더 많은 유저가 유입되고, 이 유저들이 정착하게 되면서 파트너사와 버즈빌이 동반 성장할 수 있게 됩니다. 현재 버즈빌의 혜택존은 카카오뱅크, 카카오페이, 하나머니 등의 앱에서 운영되고 있습니다. 아래의 역할을 전담하여 본 제품의 성공을 함께 만들어 나갈 분을 찾습니다. 

• 제품에 대한 이해를 바탕으로 고관여 지표들을 설정하고 PM과 함께 주요 success metric을 수립합니다. 
• 데이터 탐색을 통해 서비스의 성장을 견인할 수 있는 문제 상황을 정의하고 실행 가능한 액션 아이템을 제안합니다. 
• 중요한 의사결정에 앞서 인과관계를 추론할 수 있는 테스트를 설계하고 통계 분석 기법을 사용하여 결과를 해석합니다. 
• 제품의 주요 지표를 보여주는 대시보드를 구축 및 관리합니다.
자격요건
• 논리적이고 분석적인 사고력을 갖추신 분
• 데이터를 활용하여 문제를 정의하고 실질적인 액션까지 도출해 본 경험이 있는 분
• SQL 상급 사용 능력과 Python 혹은 R 언어를 사용한 데이터 분석에 불편함이 없는 분
• AARRR Funnel, Carrying Capacity, Cohort Analysis 및 이에 준하는 제품 분석 프레임워크에 대한 이해와 활용을 경험해보신 분
• 데이터 분석(혹은 유관업무) 경력 2년 이상 보유하신 분
상세 정보 더 보기",https://www.wanted.co.kr/wd/202826,서울 · 한국,데이터 분석가
골프플랫폼개발그룹 골프 예약 데이터 분석가 팀장,카카오VX,"포지션 상세
카카오VX는 대한민국 스크린골프 대표 브랜드인 ‘티업비전2’, ‘티업비전, ‘지스윙’을 보유한 스크린골프 점유율 2위 기업으로 골프 시장을 선도하고 있습니다.

기존 골프 사업을 더 강화하는 한편, 가상 체험(Virtual eXperience)을 바탕으로 인공지능과의 결합을 통한 혁신적인 서비스를 선보여 경쟁력을 강화할 계획입니다.

또한, 향후에는 건강한 가상 경험을 확대시키는 인공지능형 제품을 다채롭게 개발해 보고, 듣고, 말하고, 동작하는 '체감형 통합 서비스'로 사업을 확장해 나갈 전망입니다.

카카오VX의 비전 달성을 위한 3대 핵심 가치로 ‘기술(Technology)’, ‘건강(Health)’, ‘재미(Fun)’를 제시하고, 대중의 최대 관심사인 놀이 문화와 건강을 결합한 새로운 가치 창출에 최선을 다하고 있습니다.

카카오VX에서 함께 성장하실 인재를 기다립니다.
주요업무
• 골프 예약 데이터를 수집, 가공, 분석하여 의미 있는 인사이트를 도출하는 업무를 담당합니다.
• 골프 예약 플랫폼을 개선하기 위한 데이터 기반 전략 개발 업무를 담당합니다.
• 데이터를 시각화하여 결과를 팀에 전달하는 업무를 담당합니다.
자격요건
• SQL 중급 이상이신 분을 찾습니다.
• 데이터를 통한 인사이트를 도출하고 개선점을 적용해 본 경험을 보유하신 분을 찾습니다.
• 서비스 개선 또는 비즈니스 전략 방향 / 사업 계획 수립 업무 경험이 있으신 분을 찾습니다.
• 커뮤니케이션 역량을 갖추신 분을 찾습니다.
상세 정보 더 보기",https://www.wanted.co.kr/wd/198764,경기 · 한국,데이터 분석가
[서울] 데이터 분석가 (시계열),인터엑스,"포지션 상세
인터엑스는 제조AI 및 자율공장 전문 파트너 입니다.

누구나 쉽게 빅데이터를 분석하고 쉽게 현장에 적용할 수 있도록 인공지능(AI) 기반 제조 빅데이터 분석 서비스 플랫폼을 제공하고 있습니다.

인터엑스의 제조 빅데이터 분석 서비스는 현장의 데이터 수집부터 데이터 품질관리, Advanced 빅데이터 분석, AI Library를 바탕으로 한 지능화된 공정 예측과 최적화를 통해 기업의 성장을 지원합니다.

저희의 목표는 IoT(사물 인터넷)의 결합으로 개선된 프로세스를 현장에 쉽게 적용하여 스마트 제조 환경을 구현하는 것과 제조 빅데이터가 가지는 무궁무진한 가능성을 제조 기업 모두가 누리며 함께 성장하는 성공 스토리를 만드는데 있습니다.

저희와 함께 제조AI 성공 스토리를 만들어갈 유능한 분들의 많은 지원 부탁 드립니다.
주요업무
[함께하시면 맡게 될 업무입니다!]

- 시계열 딥러닝 알고리즘 기술 연구 및 개발
- LLM 모델 Fine tuning 기법 연구 및 개발
- 제조업 불량예측 및 Anomaly detection에 적용 가능한 알고리즘 개발
- 알고리즘 고도화
자격요건
[이런 분이 필요해요!]
 
- Python을 활용하여 머신러닝/딥러닝 프로젝트 (Prediction, Anomaly detection, Classification) 경험이 있으신 분
- Tensorflow 또는 Pytorch 사용 경험이 있으신 분
- Pandas, Matplotlib등의 패키지를 활용한 데이터 정제, 전처리, 분석, 모델링, 시각화 경험을 보유하신 분
- 최신 기술 (LLM 등)에 관심이 많은 분
- 주도적으로 일을 만들고, 책임감 있게 리드하시는 분
- 다른 직군과 함께 문제를 정의하고 해결책을 찾을 수 있는 분 

[업무에 꼭 필요한 기술 스택 입니다]
- Tensorflow 
- Pytorch
상세 정보 더 보기",https://www.wanted.co.kr/wd/192216,서울 · 한국,데이터 분석가
데이터분석가 (병역특례_현역/보충역),넛지헬스케어(캐시워크),"포지션 상세
[회사소개]
• 넛지헬스케어는 행동경제학 이론을 실생활에 적용하여 비만, 당뇨, 고혈압과 같은 만성질환을 예방하고 관리할 수 있도록 돕는 것을 목표로 2016년 설립되었습니다.
• 현재는 대한민국 국민 3명 중 1명이 사용하고 있는 국민 건강앱 [캐시워크]를 개발한 디지털 헬스케어 스타트업입니다.

[지원해야 하는 이유]
• 전 세계 2,000만 다운로드가 넘는 서비스를 직접 기획/개발/운영하는 경험을 할 수 있습니다.
• 2022년 기준 약 800억원의 매출과 100억원의 영업이익을 기록한 재무적으로 튼튼한 기업입니다.
• 2023년 한국투자파트너스와 신한금융그룹으로부터 300억원을 투자 받아 글로벌로 급격하게 성장하고 있습니다.
=＞ 미국, 캐나다, 영국, 프랑스, 이탈리아, 스페인에서 200만 다운로드 돌파
• 2022년 강남역 4번출구 바로 앞에 사옥을 매입하여 쾌적한 근무환경을 조성했습니다.
=＞ 1층에 임직원 용 카페테리아를 운영 중입니다. (전 메뉴 50% 무제한 할인)

[관련기사]
[스타트업 리포트] ""운동하며 돈 버는 국민 건강관리 앱 개발"" 나승균 넛지헬스케어 대표
https://n.news.naver.com/mnews/article/469/0000659800

캐시워크 성공 2막 여는 넛지헬스케어…“미국인 마음도 사로잡았죠”
https://n.news.naver.com/mnews/article/018/0005080573

앱 춘추전국시대…캐시워크가 미국서 소비자 로열티 얻은 노하우는 [긱스]
https://n.news.naver.com/mnews/article/015/0004784351

디지털 헬스케어 스타트업 넛지헬스케어, 300억 원 투자 유치
https://n.news.naver.com/mnews/article/009/0005115123

‘캐시워크’ 넛지헬스케어, 지난해 매출 790억원… 역대 최대
https://n.news.naver.com/mnews/article/366/0000889417
주요업무
• SQL을 사용한 데이터 추출 및 전처리를 통한 지표관리
• 데이터 시각화 및 대시보드 (Tableau/Redash 등) 운영 및 제작
• 분석 요건 기획 및 데이터 수집 관리
• 다양한 분야의 프로젝트 데이터 분석 업무
• SQL, R, Python 등을 통한 데이터 분석 자동화 업무

[전형절차]
서류전형 -＞ 코딩테스트 -＞ 1차 인터뷰 -＞ 처우협의 및 최종합격
※ 서류전형 진행 전 자료 요청을 통해 병역특례 대상자 확인을 진행하고 있습니다.
※ 전형결과에 따라 추가적인 코딩테스트가 진행될 수 있습니다.
※ 전형과정 중 동의를 통해 레퍼런스체크를 진행할 수 있습니다.
자격요건
• 경력 : 무관 (신입도 지원 가능)
• 통계/컴퓨터/수학 전공자 우대
• 병역특례대상자
상세 정보 더 보기",https://www.wanted.co.kr/wd/180914,서울 · 한국,데이터 분석가
KR Lead of Data Analyst,팀블라인드세일즈앤마케팅코리아,"포지션 상세
블라인드, 모든 변화의 시작


블라인드는 ‘구성원 목소리로 만드는 건강한 조직 문화’라는 비전 아래 2013년 출시한 직장인 소셜 플랫폼입니다. 미국 실리콘밸리에 본사를 둔 블라인드는 전 세계 30만 개 기업, 1000만 명 이상의 직장인이 사용하는 서비스로 자리 잡았습니다. 미국에서는 메타, 우버 재직자의 80% 이상이 블라인드를 사용하고 있으며, 한국 대기업 직장인 10명 중 9명이 블라인드의 가입자입니다. 전 세계 기업 문화의 의미 있는 변화를 만들어가는 블라인드의 여정에 함께하실 분을 찾습니다.


[관련기사]
• 블라인드, 美 타임지 ‘세계에서 가장 영향력 있는 100대 기업’ 선정 : https://url.kr/bkrjpd
• 뉴시스, 블라인드 416억원 투자 유치 ""2025년 이전 美 나스닥 상장"" : https://url.kr/h7tnod
• Great Place To Work, ‘일하기 좋은 기업’ 인증 : https://lnkd.in/dWCU9fTV
• tvN 유퀴즈온더블럭, 블라인드 문성욱 대표 인터뷰 : https://youtu.be/_Se2FzqvX1g
•""블라인드 직원도 '블라인드' 해요""…단, 다른 회사와 다른 점은 - 머니투데이 : https://url.kr/cjz7vk


[팀 소개]
Data Analyst 팀은 각 부서와 협업하여 핵심 지표를 정의하고 효과적으로 시각화하여 분석합니다.
이를 통해 각 부서에 실질적인 인사이트를 제공하여 조직 전체의 데이터 기반 의사결정을 지원하고 있습니다.


[제출 서류]
• 국문 이력서, 포트폴리오(선택)
• 현재 연봉 및 희망 연봉 등 연봉과 관련한 정보는 이력서에 기재하지 말아주세요.



[채용 프로세스]
• 서류 전형 - 리크루터 폰인터뷰 - 현업인터뷰 - 임원인터뷰
주요업무
• 데이터 리더로서 적극적인 비즈니스 및 프로덕트 지원
• Data Analyst 팀을 관리하고, 팀원분들께 효율적이고 명확한 피드백을 제공하여 프로젝트가 성공적으로 진행되도록 가이드
• 각 프로젝트에서 Data Driven 의사결정을 할 수 있도록 정량적 수치를 바탕으로 한 인사이트 제공
• 문제상황 해결 및 Product 개선을 위하여 여러 가설을 설정하고 검증하고, Product 및 비즈니스 KPI개선
• 분석 과제 정의 및 데이터 분석을 통하여 현상을 바르게 파악할 수 있도록 이벤트 로그 설계 및 지표 개발
• 데이터 분석 결과를 기반으로 각 현업 부서에 인사이트 전달 및 객관적 의견 제시
• 시각화 툴(Superset/Tableau)을 활용하여 지표를 추적하여 Product 개선점 도출
자격요건
• 만 8년 이상의 모바일 데이터 분석 경력 및 매니징 경험이 있으신 분
• 성공적으로 프로젝트를 주도하거나 관리한 경험이 있으신 분
• 이벤트 로그 설계 및 로그 검증 경험이 있으신 분
• 퍼널 분석, 코호트 분석 등 유저 행동 분석에 대한 경험이 풍부하신 분
• 복잡한 인사이트를 이해하기 쉬운 언어로 전달하는 커뮤니케이션 스킬이 뛰어나신 분
• SQL, Python, Tableau, Superset 사용이 능숙하며, GA 등의 3rd party tool 경험이 풍부하신 분 
• Github, Airflow 사용경험이 있으신 분
• 통계, 수학 등 관련 분야를 전공하신 분
상세 정보 더 보기",https://www.wanted.co.kr/wd/201455,서울 · 한국,데이터 분석가
[서울] 데이터 분석가 (이미지 및 영상),인터엑스,"포지션 상세
인터엑스는 제조AI 및 자율공장 전문 파트너 입니다.

누구나 쉽게 빅데이터를 분석하고 쉽게 현장에 적용할 수 있도록 인공지능(AI) 기반 제조 빅데이터 분석 서비스 플랫폼을 제공하고 있습니다.

인터엑스의 제조 빅데이터 분석 서비스는 현장의 데이터 수집부터 데이터 품질관리, Advanced 빅데이터 분석, AI Library를 바탕으로 한 지능화된 공정 예측과 최적화를 통해 기업의 성장을 지원합니다.

저희의 목표는 IoT(사물 인터넷)의 결합으로 개선된 프로세스를 현장에 쉽게 적용하여 스마트 제조 환경을 구현하는 것과 제조 빅데이터가 가지는 무궁무진한 가능성을 제조 기업 모두가 누리며 함께 성장하는 성공 스토리를 만드는데 있습니다.

저희와 함께 제조AI 성공 스토리를 만들어갈 유능한 분들의 많은 지원 부탁 드립니다.
주요업무
[함께하시면 맡게 될 업무입니다!]

- 이미지 및 영상 데이터 처리
- 제조업 AI, 머신러닝, 딥러닝 알고리즘 최신 기술 연구 및 개발
- 제조업 Defect classification, detection, segmentation, measurement 에 적용 가능한 알고리즘 연구 및 개발
- 알고리즘 고도화
자격요건
[이런 분이 필요해요!]
 
- 이미지 데이터에 대한 기초 지식이 있으신 분
- Python을 활용하여 머신러닝/딥러닝 프로젝트 경험이 있으신 분
- OpenCV, Numpy, Tensorflow 및 Pytorch 사용 경험이 있으신 분
- CNN 및 transformer 사용 경험이 있으신 분
- 최신 기술에 관심이 많은 분
- 주도적으로 일을 만들고, 책임감 있게 리드하시는 분
- 다른 직군과 함께 문제를 정의하고 해결책을 찾을 수 있는 분 

[업무에 꼭 필요한 기술 스택 입니다]
- Python
- OpenCV, Numpy
- Pytorch or Tensorflow
상세 정보 더 보기",https://www.wanted.co.kr/wd/192197,서울 · 한국,데이터 분석가
데이터분석가,모요,"포지션 상세
# 모두에게 통신을 쉽고 정직하게

모요는 어려운 통신 용어와 절차를 쉽게 안내하고, 정보비대칭을 해결하여 고객들께 신뢰를 드릴 거예요. 여기서 더 나아가 고객의 정보를 바탕으로 최적의 상품을 추천해드릴 예정이에요.

모요는 설립 7개월 만에 BEP를 달성하고, 11개월간 누적 100만명의 고객이 이용할 정도로 빠른 성장을 이뤄내 유수의 투자사로부터의 투자 유치도 받았습니다.
훌륭한 동료들과 빠르게 성장하며 성공을 경험하고 싶은 분들은 꼭 합류해주세요!



＜ 함께할 동료를 위한 한마디 ＞

저는 데이터를 6년째 분석하고 있는 데이터 분석가입니다. 그동안 많은 회사들을 경험했지만 모요만큼 data driven하게 의사결정을 하는 조직은 없었어요. DA가 한 분석이 전사적으로 영향을 줄 뿐만 아니라 데이터를 보는 기준을 세우는 것에서도 주도적으로 리드할 수 있는 환경이니, 고민하지 말고 지원하세요!

# 우리 팀을 소개할게요

＜ 우리는 이렇게 일해요 ＞
• 데이터 분석가(Data Analyst)는 모요의 메이커 조직인 스쿼드(Squad)에 속해있어요.
• 한 스쿼드에는 프로덕트 오너 / 프로덕트 디자이너 / 개발자 / 데이터 분석가 등 2~6명의 직군으로 구성되어 있고, 각 스쿼드가 작은 스타트업처럼 자율성과 책임을 갖고 일하고 있어요.
• 빠른 실험을 통해 효과를 검증하며, 점진적으로 큰 변화를 만들어 내요.
• 데이터에 기반한 의사결정을 통해 제품을 만들고 그에 대한 성과를 측정하고 학습해요.

＜ 이런 경험과 성장을 할 수 있어요＞
• 아무도 도전하지 않은 통신 시장의 변화를 주도하고 빠르게 성장하는 제품을 경험할 수 있어요.
• 실제 고객의 목소리를 듣고 문제를 해결하며 고객에게 기존에 없던 가치를 제공해요.
• 가설 설정부터 실험 설계, 데이터 분석까지 모든 과정을 경험할 수 있어요.
• 동료들은 데이터 분석가의 분석을 신뢰해요. 신뢰를 기반으로 자유롭게 분석해볼 수 있어요.

# 데이터 분석 환경은 이렇게 되어있어요

• 모요는 자체적인 Data Lake를 구축하고 있어요.
• 서비스 데이터는 따로 DB가 분리되어 있어요.
• 서비스 데이터 OLAP을 Daily dump를 떠서 S3에 적재하고 Athena로 분석해 볼 수 있어요.
• 실시간으로 로그도 확인할 수 있어요.
• 모요는 자체적인 로그를 S3에 실시간으로 적재하고 Athena로 분석해볼 수 있어요.
• 분석 툴인 믹스패널에도 실시간으로 로그를 적재하고 있어요.

＜ 이런 기술을 활용해요 ＞
• 분석 쿼리 머신: AWS Athena
• 분석 DB: S3, AWS Glue
• 대시보드 툴: AWS QuickSight, Tableau, Redash
• 데이터 분석 툴: Mixpanel
• 협업 툴 : Slack, Notion, Jira
주요업무
# 합류하면 이런 업무를 해요
• 북극성 지표(North Star Metric, NSM)를 바탕으로 각 스쿼드가 OKR을 잘 설계할 수 있도록 도와요.
• 스쿼드에서 진행되는 실험의 설계와 결과 분석에 기여해요.
• 팀에 인사이트를 줄 수 있는 대시보드를 만들고 관리해요.
• 비즈니스에 필요한 데이터를 분석하고 발견한 인사이트를 동료들에게 공유해요.
• 마케팅 성과 분석 지표(ROAS, CTR, CVR…)를 설계하고 매체별로 분석해요.
자격요건
# 모요와 함께 해요

＜이런 분을 찾고있어요＞
• 3년 이상의 프로덕트 데이터 분석 업무 경험이 있는 분
• 데이터를 전처리하고 시각화하는데 필요한 SQL 역량을 갖춘 분
• 데이터를 기반으로 다양한 가설을 세우고 분석해 본 분
• 주어진 분석을 하기보다 주도적으로 데이터를 보고 인사이트를 도출할 수 있는 분
• 실험 결과를 비롯한 데이터 인사이트를 동료들에게 설명해 본 분
상세 정보 더 보기",https://www.wanted.co.kr/wd/142793,서울 · 한국,데이터 분석가
그로스 데이터 분석가 (3년 이상),발란(BALAAN),"포지션 상세
[럭셔리 쇼핑을 발란]
온라인 럭셔리 플랫폼 발란은 지난해 총 거래액이 전년 대비 두 배 이상 성장한 6800억 원을 달성하였고 약 1조 5000억 원 규모의 국내 온라인 명품 시장에서 발란의 시장 점유율은 약 45%에 달했습니다.
또한, 발란의 최근 4년간 연평균 성장률도 127%로, 2019년 대비 26배에 달하는 성장을 기록했습니다.
Fashion과 IT 기반으로 단순한 명품 카테고리 확장이 아닌 고객의 프리미엄 라이프 전체를 책임지는 럭셔리 커머스 플랫폼으로 한국을 넘어 거대한 전세계 럭셔리 커머스 시장을 놀라게 하고 싶다면 지금 바로 발란에 합류하세요!

[발라니어들의 일하는 방식이 궁금하다면?]
• [EO] 최형록 대표 인터뷰 : 전 재산 다 잃고 2000억 기업을 만들기까지 (https://vo.la/7hvva0)
• 명품 플랫폼 발란, ‘김혜수 효과’ 뒤 개발자들 숨은 노력 (https://vo.la/bdMqK)

[발란 성과]
• 발란, 지난해 거래액 6800억원...""명품 플랫폼 업계 1위"" (https://vo.la/naVwe)
• 상생 나선 발란, 20억원 규모 상생자금 쏜다...입점사 유동성 지원 (https://vo.la/1enOT)
주요업무
- 소비자 유형에 맞는 퍼널 트래킹 및 지표 관리
- 소비자 획득을 위한 퍼널 관리 및 개선
- 채널별(Naver, Google, Kakao, Meta 등) 광고 대시보드 기획
- 캠페인, 광고 효율 측정 및 개선 방안 수립
- 소비자(유저) 데이터에 기반한 인사이트 도출
- 도출된 인사이트를 기반한 액션 플랜 수립
- 구글 애널리틱스4(GA4), MMP(Airbridge) 활용한 데이터 분석
자격요건
- 관련 업무 경력 3년 이상
- GA4, MMP, CRM 활용 능력
- KPI 지표에 대한 효율 분석 및 최적화 능력
- 퍼널 분석, 코호트 분석, 리텐션 등 실무 이해도와 인사이트가 있으신 분
- AARRR의 User Flow에 대해 통합적으로 사고하실 수 있는 분
- 데이터 전처리, SQL, 빅쿼리, GA4, 데이터 시각화(태블로, 루커 등 다양한 툴) 활용 능력
- 가설 수립 및 데이터 기반으로 문제 해결 및 인사이트 도출이 가능하신 분

- 입사 지원 시 포트폴리오 첨부 필수(포트폴리오 필수 항목)
  - 기간
  - 내용
  - 해결해야하는 문제
  - 목표
  - 목표 달성을 위한 전략
  - 예산 및 실제 결과 및 인사이트
상세 정보 더 보기",https://www.wanted.co.kr/wd/199852,서울 · 한국,데이터 분석가
